Date,Category,Sales Revenue,Cost of Goods Sold (COGS),Quantity Sold,Profit,Market Share,Consumer Preference Index,Growth Rate (%),Marketing Spend,Customer Satisfaction,Competitor,Competitor Sales Revenue,Competitor Market Share,Location,Age Group,Seasonality,Sales Channel,Discount/Promotion,Return Rate (%)
2024-08-17,Electronics,822745.7,371114.28,3673,451631.42,40.12,67,7.86,46013.68,3.7,Competitor A,627753.33,29.93,Africa,65+,Year-Round,Online,No,9.88
2021-08-06,Clothing,622325.13,271249.03,1754,351076.1,32.67,80,7.07,17843.56,4.7,Competitor A,508626.87,29.17,North America,65+,Seasonal,In-Store,Yes,7.86
2024-04-02,Home Goods,954721.54,461461.12,4017,493260.42,44.88,75,10.07,82295.68,3.6,Competitor C,684924.46,15.45,Europe,65+,Year-Round,Online,Yes,2.16
2021-03-04,Electronics,726355.47,295978.13,1791,430377.34,49.51,79,6.96,99724.61,4.7,Competitor C,749525.35,22.1,South America,26-35,Year-Round,In-Store,Yes,4.48
2022-09-22,Electronics,365157.1,181486.95,521,183670.15,42.2,81,13.31,31746.71,4.3,Competitor C,770517.02,19.88,Africa,26-35,Year-Round,Online,No,4.25
2020-08-19,Beauty,310163.53,145504.72,1057,164658.81,45.22,76,17.57,14535.72,3.9,Competitor B,761123.69,25.13,Asia,26-35,Year-Round,In-Store,Yes,4.05
2021-05-04,Sports & Outdoors,714843.89,308023.27,2203,406820.62,24.61,83,19.45,27516.68,3.7,Competitor B,764900.74,11.59,Africa,36-50,Year-Round,In-Store,No,5.01
2018-06-30,Clothing,113372.83,62829.66,2051,50543.17,11.9,78,18.22,15190.77,5.0,Competitor B,794797.24,9.08,Asia,36-50,Seasonal,Both,No,3.29
2021-09-14,Sports & Outdoors,442083.21,212504.03,4061,229579.18,12.03,66,13.52,46289.49,4.7,Competitor B,521466.41,23.16,Asia,36-50,Year-Round,In-Store,No,2.11
2017-09-04,Electronics,956901.96,483808.98,883,473092.98,13.19,89,7.34,59833.45,3.7,Competitor B,509857.05,10.02,South America,26-35,Year-Round,In-Store,No,9.28
2021-01-10,Beauty,589316.07,339075.6,558,250240.47,41.61,75,6.69,98744.97,4.7,Competitor C,698297.2,7.92,Europe,51-65,Seasonal,In-Store,Yes,2.65
2024-08-23,Electronics,668609.13,352992.56,3580,315616.57,18.72,60,8.08,19585.24,4.8,Competitor A,567973.5,29.73,Africa,65+,Seasonal,Online,No,9.11
2020-11-18,Electronics,787130.51,377887.67,3134,409242.84,45.77,86,6.06,81798.64,4.8,Competitor C,750394.54,26.78,Africa,51-65,Year-Round,In-Store,No,1.55
2020-06-08,Electronics,424333.29,175237.49,4545,249095.8,47.65,80,19.51,55462.07,3.8,Competitor B,579077.19,27.94,South America,18-25,Seasonal,Online,Yes,5.34
2019-12-07,Sports & Outdoors,678944.51,389433.63,2646,289510.88,44.31,72,5.27,27564.85,4.8,Competitor C,551227.04,28.27,North America,51-65,Year-Round,Both,Yes,8.39
2020-07-28,Clothing,537613.67,239616.27,3716,297997.4,17.66,78,5.19,95296.72,4.8,Competitor C,629350.02,25.27,South America,18-25,Seasonal,Online,No,9.7
2024-04-30,Home Goods,311947.27,156205.26,4826,155742.01,20.18,89,16.72,85538.39,4.1,Competitor A,644586.36,18.12,Europe,36-50,Year-Round,Both,No,8.26
2019-12-07,Clothing,438119.78,212406.1,1612,225713.68,38.26,89,11.82,50538.08,4.1,Competitor A,669015.19,11.26,Africa,51-65,Seasonal,In-Store,Yes,1.33
2023-04-26,Beauty,752329.62,344111.77,1429,408217.85,36.75,67,13.65,38362.0,3.6,Competitor C,688282.86,13.76,South America,26-35,Year-Round,Online,Yes,5.96
2017-09-16,Home Goods,893503.93,394533.1,3852,498970.83,35.67,85,7.66,17223.89,4.3,Competitor C,651560.61,12.24,South America,51-65,Year-Round,In-Store,Yes,8.1
2020-10-04,Sports & Outdoors,291037.21,141876.22,4022,149160.99,40.11,75,14.53,82705.37,4.4,Competitor A,542463.42,16.16,North America,65+,Year-Round,In-Store,Yes,4.89
2017-07-19,Sports & Outdoors,450647.92,245618.45,1128,205029.47,43.06,82,17.97,56847.66,4.6,Competitor C,608259.45,20.15,Asia,36-50,Year-Round,In-Store,No,8.24
2022-02-12,Sports & Outdoors,801428.35,409085.54,1233,392342.81,17.03,78,13.02,91156.78,4.9,Competitor C,795044.88,5.15,Asia,26-35,Seasonal,Online,Yes,1.81
2021-02-10,Beauty,943494.19,462668.02,4012,480826.17,39.23,84,18.69,86067.88,4.2,Competitor B,559882.41,29.79,Asia,26-35,Seasonal,In-Store,Yes,8.32
2021-08-03,Beauty,625015.99,264058.43,2010,360957.56,35.54,94,18.04,52147.59,4.3,Competitor B,569313.6,22.78,North America,36-50,Year-Round,In-Store,Yes,3.4
2018-08-29,Sports & Outdoors,198449.7,103813.38,2216,94636.32,30.46,60,6.31,98249.61,4.0,Competitor C,659826.76,28.25,Africa,65+,Year-Round,Online,No,1.43
2022-03-30,Beauty,650528.94,344793.83,4984,305735.11,44.58,67,16.63,45293.02,4.8,Competitor A,568428.18,9.44,Africa,26-35,Seasonal,Both,Yes,4.58
2022-11-09,Beauty,178775.65,77944.87,4158,100830.78,17.19,80,17.34,16495.97,4.4,Competitor C,626648.1,12.12,Europe,65+,Seasonal,Online,Yes,2.65
2019-06-21,Beauty,448106.91,210490.3,1867,237616.61,16.54,95,6.61,43940.9,4.6,Competitor A,535817.13,7.35,North America,51-65,Seasonal,In-Store,Yes,7.89
2018-03-03,Home Goods,819859.57,424499.14,2471,395360.43,14.24,89,15.46,85334.44,4.5,Competitor B,635616.45,29.06,Africa,18-25,Seasonal,Both,No,6.37
2021-01-04,Home Goods,907705.23,454556.61,2155,453148.62,21.72,66,19.98,18624.72,4.3,Competitor B,781806.02,17.42,Asia,26-35,Seasonal,In-Store,No,4.58
2019-06-05,Sports & Outdoors,730514.02,386674.81,2411,343839.21,41.08,84,19.49,43406.08,4.6,Competitor C,587191.69,14.94,Africa,51-65,Year-Round,Online,No,1.14
2017-07-14,Electronics,277133.28,111341.34,3326,165791.94,12.5,94,9.44,55776.5,4.0,Competitor C,542982.77,16.46,South America,51-65,Year-Round,In-Store,No,8.35
2019-10-07,Beauty,147210.41,69770.75,4309,77439.66,32.07,74,16.63,13136.58,4.7,Competitor B,526219.74,27.32,Africa,36-50,Year-Round,Both,Yes,8.62
2024-10-27,Clothing,785008.25,361334.96,1626,423673.29,19.83,89,6.59,25328.31,4.1,Competitor B,621732.46,18.26,Europe,18-25,Seasonal,In-Store,No,7.51
2018-06-01,Home Goods,995757.19,499958.21,4608,495798.98,33.05,92,18.09,48695.28,4.9,Competitor A,668047.88,25.24,Asia,26-35,Year-Round,Online,Yes,6.17
2017-01-19,Home Goods,812103.96,388278.13,4401,423825.83,18.62,94,6.79,14154.14,4.8,Competitor B,578669.76,20.51,North America,51-65,Year-Round,Both,Yes,3.95
2021-05-05,Clothing,514147.86,234241.36,3412,279906.5,17.53,94,13.45,91571.15,3.8,Competitor B,655361.59,14.57,Europe,18-25,Seasonal,Online,Yes,4.54
2024-02-03,Clothing,410246.2,219576.99,4852,190669.21,44.05,89,17.82,76271.95,3.7,Competitor A,645624.24,19.19,Africa,18-25,Seasonal,Online,No,8.84
2018-07-03,Home Goods,738753.57,354289.61,2803,384463.96,20.58,90,16.11,77299.93,4.4,Competitor A,793214.82,8.2,North America,26-35,Seasonal,Both,Yes,7.82
2022-05-22,Clothing,436709.92,255871.51,3454,180838.41,33.35,86,14.84,50213.29,4.8,Competitor B,695643.24,29.55,Africa,65+,Year-Round,Online,No,4.87
2019-08-13,Home Goods,506721.38,250386.94,2076,256334.44,45.88,92,8.87,25711.47,3.8,Competitor B,787580.78,14.92,North America,26-35,Year-Round,Online,Yes,4.28
2020-08-19,Clothing,604457.72,304590.47,3313,299867.25,10.12,93,8.9,10216.48,4.2,Competitor B,631460.25,16.14,Asia,65+,Seasonal,In-Store,No,9.19
2021-03-13,Clothing,398796.07,237285.19,633,161510.88,26.12,73,18.76,95250.07,4.4,Competitor A,786457.28,21.57,South America,65+,Seasonal,Both,No,5.03
2019-02-14,Beauty,960801.2,393947.36,1638,566853.84,28.46,95,10.2,98470.04,3.6,Competitor B,637078.54,8.87,South America,36-50,Year-Round,Both,No,8.19
2017-05-04,Beauty,569889.77,316101.04,1791,253788.73,22.23,76,16.2,86998.02,4.1,Competitor B,671317.52,6.17,South America,65+,Seasonal,In-Store,Yes,8.9
2019-05-29,Beauty,920684.73,495372.27,4984,425312.46,20.34,93,9.34,36872.33,4.6,Competitor B,753368.72,22.22,South America,18-25,Year-Round,In-Store,Yes,9.46
2017-05-27,Clothing,126313.19,60705.26,2723,65607.93,13.41,85,5.11,80290.62,4.8,Competitor B,515326.9,12.33,South America,36-50,Seasonal,Both,Yes,4.88
2022-06-28,Electronics,890379.32,379497.97,3181,510881.35,17.55,92,12.38,95225.46,4.3,Competitor C,783276.27,7.69,Asia,51-65,Year-Round,Both,Yes,4.62
2017-10-06,Clothing,904406.91,365016.39,4111,539390.52,44.43,83,12.24,31967.97,3.7,Competitor A,672783.53,19.38,Asia,51-65,Seasonal,Online,No,9.77
2022-07-27,Electronics,362113.53,198120.47,2355,163993.06,27.22,83,6.53,62801.74,4.4,Competitor C,697580.76,15.21,South America,18-25,Year-Round,Both,Yes,2.36
2023-02-07,Electronics,315435.37,165539.32,4334,149896.05,49.52,90,16.23,33221.14,4.7,Competitor C,528486.06,5.18,Europe,26-35,Year-Round,Online,No,4.42
2024-04-06,Home Goods,753326.06,341548.21,2933,411777.85,39.99,66,19.22,83850.27,4.8,Competitor B,687962.22,11.42,North America,51-65,Year-Round,Both,No,7.53
2022-06-13,Sports & Outdoors,697466.26,416188.49,1003,281277.77,12.71,81,10.65,82356.96,4.5,Competitor C,572289.79,23.84,Europe,51-65,Seasonal,In-Store,Yes,5.9
2024-07-16,Sports & Outdoors,610100.02,277357.9,2872,332742.12,17.68,76,17.1,71937.93,4.4,Competitor C,586667.6,12.7,Europe,51-65,Seasonal,Both,Yes,5.99
2023-09-28,Electronics,910418.15,420332.6,3898,490085.55,27.07,80,16.14,98474.43,4.3,Competitor A,780182.55,16.52,Africa,18-25,Year-Round,Both,No,1.73
2024-10-02,Sports & Outdoors,329111.83,188466.44,4928,140645.39,47.21,66,12.29,55149.26,4.5,Competitor C,663955.92,15.01,North America,18-25,Seasonal,In-Store,No,6.79
2020-01-29,Sports & Outdoors,610866.8,284532.25,3962,326334.55,22.24,89,10.23,24791.15,4.5,Competitor B,787506.32,10.16,South America,36-50,Seasonal,In-Store,No,9.4
2020-01-15,Sports & Outdoors,251850.15,143397.41,3994,108452.74,36.88,76,6.35,14351.3,4.6,Competitor C,570727.79,13.16,South America,26-35,Year-Round,In-Store,No,9.94
2019-02-24,Electronics,715343.52,350267.47,3540,365076.05,27.29,86,19.32,29687.53,3.8,Competitor B,621209.37,27.5,Africa,18-25,Year-Round,In-Store,Yes,3.48
2018-09-25,Electronics,886714.66,495661.64,1214,391053.02,48.48,60,18.49,49900.43,3.9,Competitor A,639931.37,9.03,Europe,36-50,Year-Round,Both,Yes,4.51
2018-11-01,Home Goods,913128.23,534730.82,4867,378397.41,10.54,68,16.6,72888.61,4.7,Competitor C,618806.98,6.77,Asia,26-35,Seasonal,Online,Yes,7.72
2018-09-02,Sports & Outdoors,618867.93,307442.66,1445,311425.27,17.79,63,19.08,71674.8,3.7,Competitor A,641356.79,20.02,Africa,18-25,Seasonal,In-Store,Yes,8.07
2021-04-28,Sports & Outdoors,947677.7,562014.38,2120,385663.32,35.26,90,18.96,39349.76,3.5,Competitor B,765578.86,12.87,Africa,18-25,Year-Round,Online,No,6.65
2020-05-07,Beauty,516196.06,239721.1,2718,276474.96,16.62,79,19.25,50276.49,4.1,Competitor B,691401.49,29.64,North America,51-65,Year-Round,Online,No,8.47
2019-12-18,Home Goods,214896.85,111588.33,2040,103308.52,49.6,67,9.66,60295.01,4.7,Competitor A,513752.58,24.86,South America,51-65,Seasonal,Both,Yes,5.74
2024-07-12,Electronics,946825.46,523126.34,3748,423699.12,11.78,64,19.45,81037.24,4.4,Competitor B,599800.04,21.29,North America,65+,Seasonal,Online,Yes,1.54
2020-12-18,Home Goods,387116.24,172193.49,2484,214922.75,20.23,76,11.05,19625.62,3.5,Competitor B,539071.41,22.49,Asia,36-50,Seasonal,Both,No,2.28
2017-08-07,Sports & Outdoors,600531.05,264824.57,895,335706.48,43.82,91,19.84,57605.9,4.8,Competitor C,609371.88,17.69,North America,51-65,Year-Round,In-Store,Yes,5.82
2018-05-12,Home Goods,372663.25,150562.78,1691,222100.47,20.95,86,15.44,67003.91,4.3,Competitor C,548521.42,20.67,Africa,51-65,Year-Round,In-Store,Yes,4.09
2019-02-09,Sports & Outdoors,925158.13,490542.37,1282,434615.76,10.3,61,14.25,72120.81,3.8,Competitor A,505609.41,22.73,South America,36-50,Seasonal,In-Store,No,7.47
2021-09-24,Sports & Outdoors,826275.29,420555.76,1984,405719.53,24.5,90,17.61,81091.86,3.8,Competitor B,790188.48,27.7,Africa,26-35,Seasonal,Both,No,3.46
2021-04-15,Electronics,817530.09,334753.51,3991,482776.58,48.36,84,14.72,40484.73,4.3,Competitor A,505010.24,20.5,Europe,26-35,Year-Round,Online,Yes,9.59
2018-05-27,Clothing,839346.9,498829.1,1753,340517.8,20.44,70,6.33,58045.99,4.0,Competitor A,615796.74,23.63,Asia,51-65,Seasonal,Both,No,3.06
2021-09-30,Sports & Outdoors,456523.42,256043.37,2584,200480.05,30.91,95,10.27,87484.23,3.5,Competitor B,759908.83,16.37,Asia,36-50,Year-Round,Online,No,9.49
2021-08-19,Home Goods,307797.95,160589.4,3071,147208.55,20.42,63,13.21,76619.2,4.4,Competitor C,748387.2,25.77,North America,65+,Seasonal,In-Store,No,3.6
2017-10-06,Sports & Outdoors,845422.35,486981.28,1982,358441.07,43.73,91,13.0,94346.74,4.5,Competitor A,773737.91,11.97,South America,18-25,Year-Round,In-Store,No,7.5
2023-04-05,Electronics,830175.48,440743.27,2428,389432.21,49.24,73,6.91,51394.13,4.8,Competitor C,704498.23,21.87,North America,18-25,Year-Round,In-Store,Yes,6.52
2019-04-02,Sports & Outdoors,984424.48,418351.45,3799,566073.03,20.97,60,15.61,86663.76,3.7,Competitor C,589914.2,24.82,North America,26-35,Seasonal,Online,No,6.6
2021-10-01,Home Goods,743172.58,439417.22,1222,303755.36,36.43,91,14.98,89263.78,4.2,Competitor B,757706.49,16.88,North America,51-65,Year-Round,Online,No,2.85
2021-04-26,Clothing,400843.23,232469.73,2948,168373.5,11.94,95,18.26,84162.0,3.8,Competitor C,521140.42,5.72,Asia,36-50,Year-Round,Both,Yes,5.95
2021-12-28,Home Goods,470673.26,273763.69,4446,196909.57,10.27,83,15.24,95491.83,3.9,Competitor C,794399.66,27.94,Asia,36-50,Year-Round,Online,No,1.39
2019-10-26,Home Goods,509392.6,284209.58,3989,225183.02,33.62,90,16.2,22365.67,3.9,Competitor B,721402.93,21.42,South America,65+,Seasonal,Online,No,9.58
2024-10-31,Home Goods,938871.55,515034.82,4411,423836.73,28.82,72,19.25,96083.44,4.3,Competitor B,521979.57,11.27,Asia,36-50,Seasonal,In-Store,Yes,7.68
2022-09-12,Electronics,138770.16,73162.66,2646,65607.5,29.68,93,17.29,76771.36,4.9,Competitor C,718588.23,19.1,Africa,26-35,Year-Round,Both,Yes,1.59
2021-09-23,Sports & Outdoors,851207.67,474839.36,2765,376368.31,31.53,65,9.11,69533.98,4.6,Competitor B,619970.64,21.0,South America,26-35,Year-Round,In-Store,Yes,7.54
2017-05-15,Home Goods,570382.98,267007.56,3803,303375.42,17.14,84,18.77,45407.57,4.6,Competitor B,538362.87,8.31,North America,36-50,Seasonal,Online,No,3.99
2023-12-16,Beauty,929780.38,450069.74,1708,479710.64,33.47,90,19.93,45884.77,4.6,Competitor A,515047.7,13.16,Europe,65+,Seasonal,In-Store,Yes,1.04
2017-10-22,Sports & Outdoors,137010.39,70237.82,4663,66772.57,24.98,61,10.14,48786.31,3.8,Competitor A,724940.15,18.97,North America,65+,Year-Round,Both,No,2.13
2018-11-29,Beauty,196558.68,91531.33,960,105027.35,33.21,61,13.16,95502.32,4.5,Competitor A,714269.94,17.58,Europe,36-50,Year-Round,In-Store,Yes,3.4
2021-08-17,Home Goods,464256.5,256491.54,1854,207764.96,17.36,92,14.19,53609.61,4.6,Competitor C,689739.46,27.4,Africa,65+,Year-Round,In-Store,Yes,7.19
2017-05-17,Electronics,992587.1,458521.55,1700,534065.55,34.7,67,6.68,97622.78,3.8,Competitor C,680867.76,17.18,South America,65+,Seasonal,Both,No,2.73
2021-08-28,Clothing,340508.21,199508.4,4006,140999.81,10.76,65,8.33,52294.64,4.5,Competitor B,672254.61,18.72,South America,65+,Seasonal,In-Store,No,5.46
2024-11-18,Clothing,825433.13,461445.78,4922,363987.35,36.06,70,9.31,60911.64,4.4,Competitor A,502892.84,15.46,Asia,18-25,Year-Round,In-Store,No,8.35
2020-03-03,Clothing,380059.52,205964.03,4004,174095.49,10.54,75,13.37,96666.5,3.6,Competitor C,549099.83,14.86,South America,26-35,Year-Round,In-Store,No,6.18
2021-02-05,Sports & Outdoors,844487.17,368373.64,3183,476113.53,34.08,75,19.16,91752.22,4.5,Competitor A,752478.47,12.57,North America,26-35,Seasonal,Both,Yes,2.77
2021-01-18,Sports & Outdoors,359707.07,190221.9,1559,169485.17,29.6,70,14.04,82047.05,4.6,Competitor C,591306.41,19.83,South America,18-25,Year-Round,In-Store,No,8.39
2017-03-26,Home Goods,981370.56,455131.5,3294,526239.06,48.41,75,9.41,37082.35,3.9,Competitor A,731128.33,13.84,South America,65+,Seasonal,Online,Yes,2.93
2020-07-16,Sports & Outdoors,563759.21,230566.85,3018,333192.36,17.24,72,12.1,30987.42,4.6,Competitor B,523225.34,26.62,North America,36-50,Year-Round,Online,Yes,5.64
2022-08-01,Clothing,372117.84,205224.9,4027,166892.94,14.9,65,17.22,11121.89,3.9,Competitor A,550225.22,6.7,Asia,26-35,Seasonal,Both,Yes,1.28
2018-12-09,Clothing,820349.07,444177.32,3312,376171.75,23.6,91,6.73,35881.69,4.9,Competitor A,619624.87,25.38,Asia,36-50,Year-Round,Online,No,1.04
2020-06-25,Electronics,392838.9,213167.83,4477,179671.07,25.98,85,15.43,88021.34,4.5,Competitor C,514804.75,11.77,Africa,65+,Seasonal,Online,Yes,5.33
2017-03-26,Beauty,709070.3,342342.84,3600,366727.46,34.62,93,11.78,48076.7,4.9,Competitor A,678223.2,29.44,North America,18-25,Seasonal,Online,Yes,9.06
2020-03-06,Electronics,477143.58,226260.61,1984,250882.97,47.98,69,5.86,39671.47,4.7,Competitor A,704858.46,5.32,South America,26-35,Year-Round,Both,No,5.33
2017-12-28,Beauty,104064.54,43377.11,3964,60687.43,41.19,83,15.81,95941.21,4.3,Competitor B,793697.62,22.48,Africa,18-25,Seasonal,Online,No,8.0
2017-01-18,Home Goods,986735.12,501299.97,4513,485435.15,20.48,84,9.64,94186.18,4.8,Competitor A,724767.24,15.58,South America,65+,Year-Round,Both,No,4.75
2022-03-07,Home Goods,823672.4,394733.33,2463,428939.07,47.77,85,15.98,39072.8,3.8,Competitor B,746333.86,6.75,Asia,36-50,Year-Round,In-Store,Yes,7.87
2022-12-19,Home Goods,753981.96,353585.35,2448,400396.61,49.51,89,15.32,84975.01,4.1,Competitor B,798853.81,6.08,Europe,18-25,Year-Round,Online,Yes,8.48
2021-06-20,Sports & Outdoors,508550.68,288019.36,2325,220531.32,16.47,82,19.04,30152.38,4.8,Competitor A,762986.81,29.27,Asia,36-50,Seasonal,In-Store,No,4.13
2017-06-25,Sports & Outdoors,481514.9,286956.43,994,194558.47,13.41,89,7.94,26387.82,3.7,Competitor B,782849.46,17.44,Asia,18-25,Seasonal,In-Store,Yes,8.82
2018-02-27,Sports & Outdoors,691151.04,413978.29,4595,277172.75,15.78,93,11.65,90509.66,4.6,Competitor C,781039.76,26.21,Africa,36-50,Year-Round,Both,No,6.72
2018-05-11,Electronics,123283.54,63919.8,2690,59363.74,28.99,86,8.87,42434.21,4.5,Competitor A,745073.77,6.7,Asia,18-25,Year-Round,Both,No,1.65
2020-05-25,Sports & Outdoors,212417.83,127027.43,4440,85390.4,12.92,86,9.13,87149.09,3.7,Competitor A,744599.35,28.58,Europe,65+,Year-Round,Online,No,6.35
2024-09-08,Sports & Outdoors,797748.08,344820.8,4966,452927.28,48.19,67,13.44,72584.29,3.7,Competitor C,578197.98,19.79,South America,51-65,Seasonal,Online,Yes,5.27
2019-07-13,Clothing,975547.35,446972.73,636,528574.62,18.82,92,12.56,64674.46,3.7,Competitor B,657001.04,17.07,South America,51-65,Year-Round,Online,No,9.43
2018-05-22,Beauty,406659.25,210077.74,3984,196581.51,10.03,82,6.53,87840.67,3.6,Competitor B,657059.02,22.49,Africa,51-65,Seasonal,In-Store,Yes,9.02
2020-04-24,Home Goods,714698.47,338611.61,3053,376086.86,26.75,78,12.25,58372.85,4.9,Competitor A,716163.15,5.63,Africa,65+,Seasonal,Both,No,3.27
2023-01-19,Sports & Outdoors,940557.1,448070.93,2767,492486.17,12.4,68,18.08,23373.04,3.7,Competitor B,523357.43,10.45,North America,26-35,Year-Round,Online,Yes,4.97
2017-10-30,Home Goods,717468.79,337139.88,2012,380328.91,36.39,91,10.8,48427.52,4.4,Competitor B,778530.99,25.2,Europe,36-50,Year-Round,Both,Yes,4.35
2018-10-30,Clothing,634047.25,356496.61,4159,277550.64,25.48,95,7.25,58992.8,3.7,Competitor A,599761.43,17.9,Europe,36-50,Seasonal,Both,Yes,8.86
2023-12-23,Home Goods,851330.65,415640.89,3979,435689.76,39.23,75,19.07,15913.35,5.0,Competitor B,661874.93,27.91,South America,26-35,Year-Round,Both,No,2.69
2020-12-01,Clothing,430178.1,241743.95,2368,188434.15,29.57,93,11.69,69724.42,4.4,Competitor A,774849.72,11.0,South America,36-50,Year-Round,Both,Yes,6.48
2020-08-30,Clothing,345275.84,165842.14,3443,179433.7,44.03,83,17.18,11561.61,4.9,Competitor A,718090.87,9.97,Asia,65+,Seasonal,Online,Yes,5.68
2024-02-26,Home Goods,688062.04,407609.29,1203,280452.75,15.21,89,12.63,97069.77,4.9,Competitor C,524942.82,15.28,North America,65+,Seasonal,In-Store,No,8.45
2022-10-30,Sports & Outdoors,921178.33,453162.54,4869,468015.79,45.11,65,16.23,56740.66,5.0,Competitor A,692812.9,11.72,South America,26-35,Seasonal,Both,No,5.9
2019-03-01,Sports & Outdoors,684365.7,315504.47,890,368861.23,17.03,68,16.72,12189.71,4.6,Competitor A,574107.92,22.07,Asia,51-65,Year-Round,Both,No,9.78
2023-03-04,Clothing,283185.2,113653.36,1118,169531.84,15.75,76,11.72,34565.21,4.8,Competitor C,576134.36,29.13,Asia,51-65,Year-Round,Both,No,8.71
2020-01-25,Home Goods,592433.87,272014.08,2946,320419.79,41.95,84,13.75,50570.08,3.8,Competitor B,510734.41,6.97,North America,51-65,Year-Round,Both,No,5.83
2019-09-14,Clothing,688821.8,296580.41,2634,392241.39,40.94,95,6.44,45268.3,3.5,Competitor A,661055.89,23.8,Europe,26-35,Seasonal,In-Store,Yes,6.04
2019-07-23,Home Goods,478219.75,240520.61,2573,237699.14,16.1,79,11.77,35143.17,4.3,Competitor A,644205.72,11.97,North America,51-65,Seasonal,Online,No,4.35
2018-12-18,Clothing,565457.98,283970.53,4174,281487.45,31.46,95,11.89,54065.73,5.0,Competitor B,570550.65,29.92,Europe,36-50,Seasonal,In-Store,No,7.32
2022-11-04,Beauty,502636.77,241251.51,2162,261385.26,27.36,77,8.02,47069.24,4.3,Competitor C,584518.12,6.62,North America,18-25,Year-Round,Both,No,7.79
2019-02-10,Beauty,734085.1,332399.31,3777,401685.79,37.45,83,16.05,82452.18,4.5,Competitor B,619569.72,22.38,North America,51-65,Seasonal,Both,No,8.02
2024-08-05,Clothing,816767.84,352541.96,4321,464225.88,24.8,60,6.71,78055.29,4.3,Competitor B,740654.69,16.5,South America,26-35,Year-Round,In-Store,No,5.08
2019-04-09,Sports & Outdoors,352030.37,187070.37,1913,164960.0,13.37,60,6.44,11762.92,4.7,Competitor B,766386.8,9.55,Asia,26-35,Year-Round,In-Store,Yes,3.16
2023-09-02,Sports & Outdoors,464922.49,262661.14,2854,202261.35,14.9,85,16.18,85066.42,3.5,Competitor C,717870.85,6.99,Africa,26-35,Year-Round,Both,No,4.39
2023-02-07,Sports & Outdoors,391734.98,201667.78,2779,190067.2,40.64,87,18.08,69417.31,3.9,Competitor A,606660.12,19.61,Europe,26-35,Seasonal,Both,No,3.63
